timestamps,open,high,low,close,volume,amount
2015-09-09 14:00:00,1120.36,1120.56,1119.53,1119.62,857,959514.34
2015-09-09 15:00:00,1119.57,1120.3,1116.37,1116.91,2213,2471721.83
2015-09-09 16:00:00,1116.93,1117.49,1110.59,1111.18,4741,5268104.38
2015-09-09 17:00:00,1111.24,1112.48,1109.26,1110.32,3502,3888340.64
2015-09-09 18:00:00,1110.35,1111.65,1106.6,1107.97,3215,3562123.5500000003
2015-09-09 19:00:00,1107.77,1107.95,1101.15,1102.59,3302,3640752.18
2015-09-09 20:00:00,1102.57,1106.65,1102.4,1106.53,1837,2032695.61
2015-09-09 21:00:00,1106.54,1108.22,1106.07,1108.22,1228,1360894.16
2015-09-09 22:00:00,1108.24,1108.9,1107.65,1107.71,758,839644.18
2015-09-09 23:00:00,1107.76,1108.06,1106.68,1107.47,378,418623.66
2015-09-10 01:00:00,1106.89,1107.48,1106.63,1107.01,398,440589.98
2015-09-10 02:00:00,1107.06,1107.79,1106.84,1107.68,257,284673.76
2015-09-10 03:00:00,1107.59,1108.19,1106.15,1107.15,612,677575.8
2015-09-10 04:00:00,1107.12,1107.15,1103.69,1106.72,1842,2038578.24
2015-09-10 05:00:00,1106.63,1107.65,1106.01,1106.82,1082,1197579.24
2015-09-10 06:00:00,1106.81,1107.32,1106.34,1107.16,450,498222.00000000006
2015-09-10 07:00:00,1107.12,1107.51,1105.1,1106.2,1377,1523237.4
2015-09-10 08:00:00,1106.18,1108.03,1105.41,1107.15,1770,1959655.5
2015-09-10 09:00:00,1107.19,1107.28,1105.68,1106.3,1370,1515631.0
2015-09-10 10:00:00,1106.24,1108.16,1106.2,1107.8,1393,1543165.4
2015-09-10 11:00:00,1107.83,1108.53,1106.86,1107.03,1320,1461279.6
2015-09-10 12:00:00,1107.04,1107.95,1107.04,1107.32,994,1100676.0799999998
2015-09-10 13:00:00,1107.26,1107.43,1105.77,1106.9,1341,1484352.9
2015-09-10 14:00:00,1106.87,1107.8,1106.56,1107.19,1227,1358522.13
2015-09-10 15:00:00,1107.21,1112.18,1105.92,1110.52,2932,3256044.64
2015-09-10 16:00:00,1110.42,1114.83,1109.02,1109.26,4722,5237925.72
2015-09-10 17:00:00,1109.32,1111.79,1108.58,1109.07,3074,3409281.18
2015-09-10 18:00:00,1109.01,1113.58,1108.18,1111.41,2981,3313113.2100000004
2015-09-10 19:00:00,1111.31,1112.47,1110.34,1110.7,1492,1657164.4
2015-09-10 20:00:00,1110.74,1113.28,1109.94,1110.94,1817,2018577.98
2015-09-10 21:00:00,1110.91,1111.59,1110.42,1111.41,1040,1155866.4
2015-09-10 22:00:00,1111.45,1111.56,1110.25,1110.34,438,486328.92
2015-09-10 23:00:00,1110.4,1110.6,1110.28,1110.57,204,226556.28
2015-09-11 01:00:00,1111.1,1111.87,1111.01,1111.78,239,265715.42
2015-09-11 02:00:00,1111.73,1111.87,1111.43,1111.62,199,221212.38
2015-09-11 03:00:00,1111.64,1112.17,1110.87,1112.03,466,518205.98
2015-09-11 04:00:00,1112.13,1112.71,1111.24,1112.18,1070,1190032.6
2015-09-11 05:00:00,1112.27,1112.76,1111.69,1112.08,876,974182.08
2015-09-11 06:00:00,1112.13,1112.43,1111.46,1111.8,387,430266.6
2015-09-11 07:00:00,1111.78,1112.66,1111.51,1112.32,358,398210.56
2015-09-11 08:00:00,1112.41,1112.57,1110.84,1111.13,712,791124.56
2015-09-11 09:00:00,1111.15,1111.39,1109.57,1109.97,956,1061131.32
2015-09-11 10:00:00,1109.93,1111.18,1108.15,1108.86,1441,1597867.2599999998
2015-09-11 11:00:00,1108.81,1108.81,1105.32,1107.14,1966,2176637.24
2015-09-11 12:00:00,1107.09,1108.18,1106.37,1107.68,1432,1586197.76
2015-09-11 13:00:00,1107.72,1108.08,1106.32,1106.64,859,950603.76
2015-09-11 14:00:00,1106.62,1107.23,1105.55,1105.68,971,1073615.28
2015-09-11 15:00:00,1105.62,1108.28,1104.95,1106.32,2295,2539004.4
2015-09-11 16:00:00,1106.38,1106.7,1098.59,1100.16,4677,5145448.32
2015-09-11 17:00:00,1100.17,1102.53,1099.01,1099.45,3208,3527035.6
2015-09-11 18:00:00,1099.53,1102.64,1099.43,1101.93,2436,2684301.48
2015-09-11 19:00:00,1101.97,1105.59,1101.89,1104.87,2197,2427399.39
2015-09-11 20:00:00,1104.78,1105.35,1103.18,1104.29,2003,2211892.87
2015-09-11 21:00:00,1104.31,1105.36,1103.91,1105.18,1000,1105180.0
2015-09-11 22:00:00,1105.24,1108.38,1104.63,1107.9,950,1052505.0
2015-09-11 23:00:00,1107.91,1107.93,1107.12,1107.5,545,603587.5
2015-09-14 01:00:00,1107.48,1107.48,1105.93,1106.07,285,315229.94999999995
2015-09-14 02:00:00,1106.08,1106.51,1104.59,1104.63,365,403189.95
2015-09-14 03:00:00,1104.68,1106.88,1104.68,1105.91,542,599403.2200000001
2015-09-14 04:00:00,1105.86,1108.36,1105.85,1107.8,1070,1185346.0
2015-09-14 05:00:00,1107.75,1109.43,1107.61,1108.91,912,1011325.92
2015-09-14 06:00:00,1108.92,1109.61,1108.22,1109.14,505,560115.7000000001
2015-09-14 07:00:00,1109.19,1109.34,1107.41,1108.01,445,493064.45
2015-09-14 08:00:00,1108.06,1108.86,1107.07,1107.41,1032,1142847.12
2015-09-14 09:00:00,1107.4,1108.8,1106.8,1107.92,1270,1407058.4
2015-09-14 10:00:00,1107.86,1108.51,1107.26,1108.07,1106,1225525.42
2015-09-14 11:00:00,1108.05,1108.3,1106.63,1107.11,736,814832.96
2015-09-14 12:00:00,1107.12,1108.91,1107.09,1107.17,1162,1286531.54
2015-09-14 13:00:00,1107.22,1107.47,1106.39,1106.49,471,521156.79
2015-09-14 14:00:00,1106.56,1107.07,1103.38,1105.53,1265,1398495.45
2015-09-14 15:00:00,1105.48,1106.39,1104.18,1105.1,1614,1783631.4
2015-09-14 16:00:00,1105.07,1105.97,1104.09,1104.82,1936,2138931.52
2015-09-14 17:00:00,1104.88,1107.47,1104.04,1107.38,2655,2940093.9000000004
2015-09-14 18:00:00,1107.37,1109.97,1106.61,1108.74,1631,1808354.94
2015-09-14 19:00:00,1108.82,1109.84,1107.47,1109.66,1402,1555743.32
2015-09-14 20:00:00,1109.68,1110.32,1108.04,1108.55,1179,1306980.45
2015-09-14 21:00:00,1108.53,1109.37,1107.89,1109.1,677,750860.7
2015-09-14 22:00:00,1109.12,1109.15,1108.23,1108.51,392,434535.92
2015-09-14 23:00:00,1108.53,1108.94,1108.53,1108.74,209,231726.66
2015-09-15 01:00:00,1108.35,1108.6,1106.41,1108.16,283,313609.28
2015-09-15 02:00:00,1108.11,1109.27,1107.69,1108.99,388,430288.12
2015-09-15 03:00:00,1109.01,1109.18,1107.36,1107.62,593,656818.6599999999
2015-09-15 04:00:00,1107.67,1108.71,1106.45,1106.73,1005,1112263.65
2015-09-15 05:00:00,1106.71,1107.68,1106.64,1107.03,775,857948.25
2015-09-15 06:00:00,1106.99,1108.03,1106.83,1108.03,740,819942.2
2015-09-15 07:00:00,1108.01,1108.04,1107.42,1107.74,429,475220.46
2015-09-15 08:00:00,1107.76,1108.42,1106.43,1108.3,824,913239.2
2015-09-15 09:00:00,1108.24,1108.65,1107.83,1108.28,949,1051757.72
2015-09-15 10:00:00,1108.3,1108.37,1106.49,1106.73,982,1086808.86
2015-09-15 11:00:00,1106.72,1107.57,1104.97,1105.64,1017,1124435.88
2015-09-15 12:00:00,1105.66,1106.59,1105.02,1106.01,747,826189.47
2015-09-15 13:00:00,1106.0,1106.33,1102.38,1104.56,1303,1439241.68
2015-09-15 14:00:00,1104.54,1107.0,1104.31,1105.95,1790,1979650.5
2015-09-15 15:00:00,1105.93,1108.96,1105.82,1106.87,1988,2200457.56
2015-09-15 16:00:00,1106.78,1107.74,1103.58,1105.83,2398,2651780.34
2015-09-15 17:00:00,1105.86,1106.45,1104.16,1104.24,2111,2331050.64
2015-09-15 18:00:00,1104.28,1105.05,1103.08,1104.38,1678,1853149.64
2015-09-15 19:00:00,1104.47,1104.86,1103.36,1104.3,1317,1454363.1
2015-09-15 20:00:00,1104.31,1104.64,1103.16,1104.04,1389,1533511.56
2015-09-15 21:00:00,1104.01,1104.55,1103.22,1103.59,711,784652.49
2015-09-15 22:00:00,1103.57,1105.64,1103.29,1105.36,545,602421.2
2015-09-15 23:00:00,1105.39,1105.46,1104.35,1104.95,315,348059.25
2015-09-16 01:00:00,1105.18,1105.83,1105.18,1105.41,191,211133.31000000003
2015-09-16 02:00:00,1105.43,1105.48,1105.01,1105.08,127,140345.16
2015-09-16 03:00:00,1105.12,1105.21,1103.82,1104.77,533,588842.41
2015-09-16 04:00:00,1104.72,1105.22,1104.04,1105.03,619,684013.57
2015-09-16 05:00:00,1104.96,1105.44,1104.36,1104.87,726,802135.6199999999
2015-09-16 06:00:00,1104.83,1105.29,1104.65,1104.96,363,401100.48
2015-09-16 07:00:00,1104.99,1105.22,1104.24,1104.25,401,442804.25
2015-09-16 08:00:00,1104.26,1105.44,1104.22,1105.32,714,789198.48
2015-09-16 09:00:00,1105.33,1106.55,1104.45,1106.46,1079,1193870.34
2015-09-16 10:00:00,1106.47,1108.76,1106.46,1107.54,1489,1649127.06
2015-09-16 11:00:00,1107.53,1108.02,1106.99,1107.72,772,855159.84
2015-09-16 12:00:00,1107.73,1109.88,1107.36,1108.5,1233,1366780.5
2015-09-16 13:00:00,1108.55,1108.91,1108.18,1108.51,854,946667.54
2015-09-16 14:00:00,1108.56,1108.61,1107.27,1107.87,826,915100.62
2015-09-16 15:00:00,1107.86,1114.81,1107.43,1113.76,3633,4046290.08
2015-09-16 16:00:00,1113.8,1117.93,1112.13,1117.68,4103,4585841.04
2015-09-16 17:00:00,1117.71,1120.1,1116.89,1119.47,4102,4592065.94
2015-09-16 18:00:00,1119.5,1122.78,1119.5,1120.78,2844,3187498.32
2015-09-16 19:00:00,1120.69,1124.03,1120.63,1123.32,2383,2676871.56
2015-09-16 20:00:00,1123.27,1123.56,1119.08,1119.91,2124,2378688.8400000003
2015-09-16 21:00:00,1119.88,1120.6,1118.99,1119.05,1123,1256693.15
2015-09-16 22:00:00,1119.0,1120.28,1118.66,1119.93,688,770511.8400000001
2015-09-16 23:00:00,1119.95,1120.34,1119.03,1119.26,631,706253.0599999999
2015-09-17 01:00:00,1119.11,1119.78,1118.98,1119.59,262,293332.58
2015-09-17 02:00:00,1119.6,1121.4,1119.16,1119.69,706,790501.14
2015-09-17 03:00:00,1119.75,1120.7,1119.12,1119.39,797,892153.8300000001
2015-09-17 04:00:00,1119.38,1121.03,1119.37,1120.45,1408,1577593.6
2015-09-17 05:00:00,1120.55,1122.86,1119.64,1120.69,1245,1395259.05
